Blank1,Blank2,Cab Number,Lat,Long,All counties,Fibre Services Live,Fibre Build Commenced,Fibre Services Planned,cab message
,,LCN1_003,53.349506,-6.43844,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_006,53.348845,-6.442508,,1,,,Fibre Broadband Cabinet is planned for this location
,,LCN1_007,53.346955,-6.451439,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_008,53.355338,-6.422115,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_009,53.348313,-6.452502,,1,,,Fibre Broadband Cabinet is planned for this location
,,LCN1_010,53.351923,-6.430032,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_013,53.346604,-6.423622,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_014,53.346603,-6.421684,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_017,53.339564,-6.450189,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_018,53.352829,-6.425691,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_019,53.347357,-6.431855,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_021,53.349187,-6.428011,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_022,53.348052,-6.422728,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_023,53.349064,-6.433068,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_024,53.341981,-6.431977,,1,,,Fibre Broadband Cabinet is planned for this location
,,LCN1_025,53.3413,-6.436033,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_026,53.341301,-6.444181,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_027,53.340909,-6.44456,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_028,53.338732,-6.440015,,1,,,Fibre Broadband Cabinet is planned for this location
,,LCN1_029,53.353893,-6.417901,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_030,53.358915,-6.445159,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_031,53.353577,-6.412135,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_032,53.354503,-6.4116,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_033,53.337576,-6.440155,,1,,,Fibre Broadband Cabinet is planned for this location
,,LCN1_034,53.339196,-6.435753,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_035,53.350218,-6.415701,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_036,53.340546,-6.43402,,3,,,Fibre Broadband Cabinet is Live 
